Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B13,10.0,6,BRD-A25234499-001-18-3_dose_6,-2.251101,0.7316022,0.41354066,-2.0966823,1.3256415,0.46036765,0.47076297,0.51770985,0.15790305,-1.2215925
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B14,3.3333,5,BRD-A25234499-001-18-3_dose_5,-0.10811404,-0.774326,0.91536385,1.0969509,0.07489608,0.6571382,0.03783661,0.35350066,0.2104451,0.12969014
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B15,1.1111,4,BRD-A25234499-001-18-3_dose_4,-0.886522,0.16517688,-0.055667892,0.25914615,-0.0010890178,-0.06677278,0.51003027,1.039778,0.03170663,0.021813607
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B16,0.37037,3,BRD-A25234499-001-18-3_dose_3,-0.51981884,0.94717944,0.17300943,-0.23822767,1.3860347,1.831119,0.1969623,0.4504565,0.97570527,0.69383
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B17,0.12346,2,BRD-A25234499-001-18-3_dose_2,0.33058006,2.6920173,0.6006526,-0.4718358,-0.4976359,-0.6872042,0.76382256,-0.54467237,-0.15331626,-0.18115523
C-7161-01-LM6-001,BRD-A25234499-001-18-3,B18,0.041152,1,BRD-A25234499-001-18-3_dose_1,0.6480449,-0.27491567,0.522598,1.2017899,0.32479426,0.6516561,-0.72821885,1.810827,0.6256096,-0.79726547
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C13,10.0,6,BRD-A26032986-050-02-1_dose_6,-1.029093,0.72192335,0.06737028,-0.8369908,1.4311348,0.09836359,1.334338,0.6493492,-0.80559134,0.25256982
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C14,3.3333,5,BRD-A26032986-050-02-1_dose_5,-0.4276328,1.804841,-0.78823876,2.2904062,0.3739982,0.88523805,-2.631442,-0.1808021,0.71378565,1.042933
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C15,1.1111,4,BRD-A26032986-050-02-1_dose_4,-0.1302926,0.75077534,-2.5121863,0.49563047,1.2687759,0.8180585,1.18452,0.9110662,0.95562196,-0.043913066
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C16,0.37037,3,BRD-A26032986-050-02-1_dose_3,1.440794,0.3008514,0.24185345,0.17939547,0.64831567,0.020209521,-0.21454127,1.3172516,1.1775088,-0.40660512
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C17,0.12346,2,BRD-A26032986-050-02-1_dose_2,-0.4098565,0.93326604,-0.8849597,0.08720997,0.5237708,1.6085277,1.0373429,0.7114114,0.56470275,0.8589868
C-7161-01-LM6-001,BRD-A26032986-050-02-1,C18,0.041152,1,BRD-A26032986-050-02-1_dose_1,0.108074844,-0.0789313,-2.2214632,-0.48921514,-0.33665162,0.71978426,0.40454555,1.6127934,0.28091377,-0.14533159
